PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"800 Florida Ave NE, Washington, DC 20002",,,,,,,,,
Location:,"Lat, Lon: 38.89, -76.98",,,,,,,,,
Lat (deg N):,38.89,,,,,,,,,
Long (deg W):,76.98,,,,,,,,,
Elev (m):,22.44000053,,,,,,,,,
DC System Size (kW):,34,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.11,,,,,,,,,
Capacity Factor (%),"15.6	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,6,1,0,6,0,0
1,1,1,0,0,6,0,0,6,0,0
1,1,2,0,0,6,0,0,6,0,0
1,1,3,0,0,6,0,0,6,0,0
1,1,4,0,0,6,1,0,6,0,0
1,1,5,0,0,6,2,0,6,0,0
1,1,6,0,0,6,3,0,6,0,0
1,1,7,0,0,6,3,0,6,0,0
1,1,8,0,30,7,3,28.443,5.829,905.77,715.568
1,1,9,0,43,7,4,40.786,6.31,1296.138,1098.445
1,1,10,0,90,8,4,86.511,8.373,2724.724,2498.198
1,1,11,0,64,9,4,60.785,8.908,1909.987,1700.178
1,1,12,0,22,9,4,20.86,7.957,658.192,472.654
1,1,13,7,152,10,3,156.932,12.115,4860.017,4586.232
1,1,14,0,20,11,3,18.947,10.089,592.288,407.98
1,1,15,0,5,11,3,4.729,9.354,148.296,0
1,1,16,0,1,10,3,0.944,8.203,29.768,0
1,1,17,0,0,9,2,0,9,0,0
1,1,18,0,0,8,3,0,8,0,0
1,1,19,0,0,6,4,0,6,0,0
1,1,20,0,0,4,5,0,4,0,0
1,1,21,0,0,2,5,0,2,0,0
1,1,22,0,0,2,4,0,2,0,0
1,1,23,0,0,3,4,0,3,0,0
1,2,0,0,0,2,4,0,2,0,0
1,2,1,0,0,2,4,0,2,0,0
1,2,2,0,0,1,3,0,1,0,0
1,2,3,0,0,0,2,0,0,0,0
1,2,4,0,0,0,2,0,0,0,0
1,2,5,0,0,0,2,0,0,0,0
1,2,6,0,0,1,2,0,1,0,0
1,2,7,0,0,1,2,0,1,0,0
1,2,8,361,59,2,3,213.341,5.422,6295.726,5987.362
1,2,9,571,91,3,3,427.23,12.288,12822.958,12328.969
1,2,10,663,110,4,3,584.373,17.643,17428.904,16775.889
1,2,11,0,60,5,2,56.976,6.626,1808.18,1600.409
1,2,12,0,105,5,2,101.179,5.892,3221.179,2984.11
1,2,13,0,36,5,2,34.147,4.148,1095.285,901.467
1,2,14,0,94,4,2,91.602,4.524,2933.471,2702.544
1,2,15,0,45,4,2,42.702,3.345,1374.402,1175.187
1,2,16,0,8,3,2,7.567,1.137,245.846,67.928
1,2,17,0,0,3,3,0,3,0,0
1,2,18,0,0,3,3,0,3,0,0
1,2,19,0,0,3,3,0,3,0,0
1,2,20,0,0,2,3,0,2,0,0
1,2,21,0,0,2,3,0,2,0,0
1,2,22,0,0,2,3,0,2,0,0
1,2,23,0,0,2,3,0,2,0,0
1,3,0,0,0,2,3,0,2,0,0
1,3,1,0,0,2,3,0,2,0,0
1,3,2,0,0,2,3,0,2,0,0
1,3,3,0,0,2,3,0,2,0,0
1,3,4,0,0,3,4,0,3,0,0
1,3,5,0,0,3,4,0,3,0,0
1,3,6,0,0,3,4,0,3,0,0
1,3,7,0,0,3,3,0,3,0,0
1,3,8,286,64,3,3,191.226,5.87,5684.404,5391.04
1,3,9,0,100,3,3,99.59,4.121,3194.791,2958.289
1,3,10,0,108,4,2,105.249,5.162,3361.291,3121.197
1,3,11,0,44,4,2,41.756,3.37,1343.802,1145.184
1,3,12,0,73,4,2,69.36,3.916,2226.998,2010.77
1,3,13,0,107,4,2,103.687,5.002,3313.685,3074.622
1,3,14,0,117,3,2,116.488,4.492,3730.947,3482.771
1,3,15,0,65,2,3,63.732,1.998,2063.066,1850.171
1,3,16,0,12,2,4,11.36,0.687,369.778,189.589
1,3,17,0,0,1,4,0,1,0,0
1,3,18,0,0,1,5,0,1,0,0
1,3,19,0,0,0,4,0,0,0,0
1,3,20,0,0,0,4,0,0,0,0
1,3,21,0,0,0,4,0,0,0,0
1,3,22,0,0,0,4,0,0,0,0
1,3,23,0,0,0,4,0,0,0,0
1,4,0,0,0,-1,4,0,-1,0,0
1,4,1,0,0,-1,4,0,-1,0,0
1,4,2,0,0,-1,5,0,-1,0,0
1,4,3,0,0,-1,4,0,-1,0,0
1,4,4,0,0,-1,4,0,-1,0,0
1,4,5,0,0,-1,5,0,-1,0,0
1,4,6,0,0,-1,5,0,-1,0,0
1,4,7,0,0,0,5,0,0,0,0
1,4,8,0,22,0,5,20.839,-1.082,683.405,497.395
1,4,9,0,74,0,5,71.37,-0.048,2330.364,2112.02
1,4,10,4,142,1,6,144.613,2.333,4673.098,4403.648
1,4,11,365,181,2,6,481.409,9.389,15014.674,14447.906
1,4,12,389,181,2,5,504.024,11.252,15598.514,15011.473
1,4,13,160,191,2,5,327.875,7.83,10305.752,9888.867
1,4,14,84,146,2,4,207.275,5.672,6560.16,6245.182
1,4,15,0,60,1,4,58.168,1.055,1890.493,1681.075
1,4,16,0,13,0,3,12.309,-1.489,404.343,223.518
1,4,17,0,0,0,3,0,0,0,0
1,4,18,0,0,-1,3,0,-1,0,0
1,4,19,0,0,-1,2,0,-1,0,0
1,4,20,0,0,-2,2,0,-2,0,0
1,4,21,0,0,-3,2,0,-3,0,0
1,4,22,0,0,-3,2,0,-3,0,0
1,4,23,0,0,-3,2,0,-3,0,0
1,5,0,0,0,-3,2,0,-3,0,0
1,5,1,0,0,-3,1,0,-3,0,0
1,5,2,0,0,-3,1,0,-3,0,0
1,5,3,0,0,-3,1,0,-3,0,0
1,5,4,0,0,-3,1,0,-3,0,0
1,5,5,0,0,-2,0,0,-2,0,0
1,5,6,0,0,-2,0,0,-2,0,0
1,5,7,0,0,-1,0,0,-1,0,0
1,5,8,0,42,0,0,40.476,-2.763,1336.693,1138.212
1,5,9,0,73,0,1,70.304,-0.161,2296.656,2079.003
1,5,10,63,169,0,2,223.057,4.391,7124.003,6794.666
1,5,11,1,155,0,2,154.822,3.037,4989.42,4712.611
1,5,12,0,48,0,2,45.562,-0.361,1489.643,1288.176
1,5,13,0,113,0,2,109.874,1.066,3570.794,3326.138
1,5,14,0,98,0,2,95.685,0.909,3111.721,2876.999
1,5,15,0,17,0,1,16.094,-1.722,529.207,346.073
1,5,16,0,3,0,1,2.835,-2.683,93.581,0
1,5,17,0,0,0,1,0,0,0,0
1,5,18,0,0,-1,1,0,-1,0,0
1,5,19,0,0,-1,1,0,-1,0,0
1,5,20,0,0,-1,1,0,-1,0,0
1,5,21,0,0,-1,1,0,-1,0,0
1,5,22,0,0,-1,1,0,-1,0,0
1,5,23,0,0,-1,1,0,-1,0,0
1,6,0,0,0,-2,1,0,-2,0,0
1,6,1,0,0,-2,1,0,-2,0,0
1,6,2,0,0,-2,1,0,-2,0,0
1,6,3,0,0,-2,1,0,-2,0,0
1,6,4,0,0,-1,1,0,-1,0,0
1,6,5,0,0,-1,1,0,-1,0,0
1,6,6,0,0,-1,1,0,-1,0,0
1,6,7,0,0,0,1,0,0,0,0
1,6,8,252,77,0,1,189.875,3.759,5739.653,5444.95
1,6,9,450,135,0,1,408.975,12.099,12353.166,11874.093
1,6,10,97,174,1,1,251.654,9.157,7863.946,7515.237
1,6,11,125,231,2,2,355.067,10.735,11040.904,10602.218
1,6,12,166,214,3,2,366.185,12.397,11299.063,10852.58
1,6,13,88,190,2,2,266.468,8.699,8356.461,7994.525
